route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
CLBR-5135,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5136,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5137,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5147,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5148,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5149,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5150,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5151,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5152,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLCL-5119,CLCL,"Cleveland - Cleveland",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLSH-4997,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-4998,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5075,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5076,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5093,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5094,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5106,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5110,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5111,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5115,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5117,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5118,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5119,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5135,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5136,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5137,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5147,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5148,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5149,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5150,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5151,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLSH-5152,CLSH,"Cleveland - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
DBBN-5093,DBBN,"Doomben - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables,EF464E,000000
DBBR-4997,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-4998,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5075,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5076,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5093,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5094,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5106,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5110,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5111,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5115,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5117,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5118,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5119,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5137,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5147,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
